弹体重量,弹体直径,弹体长度,侵彻速度,靶体抗压强度,弹体形状系数,侵彻深度
0.08982,15,105,1031,35,3,0.51
0.09082,15,105,1373,35,3,0.79
0.08521,15,105,842,35,3,0.454
0.08546,15,105,1045,35,3,0.667
0.11084,15,105,498,35,3,0.189
0.10168,15,105,1000,35,3,0.795
0.10115,15,105,1081,35,3,0.945
0.10176,15,105,590,35,3,0.293
0.10176,15,105,788,35,3,0.5
0.12734,15,105,664,35,3,0.495
0.12761,15,105,822,35,3,0.73
0.12769,15,105,1010,35,3,0.827
0.1275,15,105,1142,35,3,0.79
0.12762,15,105,1269,35,3,0.89
0.3295,25.3,151.9,554,75,3,0.232
0.3292,25.3,151.9,692,75,3,0.343
0.3291,25.3,151.9,798,75,3,0.414
0.3296,25.3,151.9,549,120,3,0.14
0.3294,25.3,151.9,806,120,3,0.274
0.3296,25.3,151.9,553,140,3,0.129
0.3289,25.3,151.9,683,140,3,0.166
0.329,25.3,151.9,808,140,3,0.208
0.043,12,72,1225,41.8,3,0.524
0.043,12,72,1335,41.8,3,0.564
0.043,12,72,1457,41.8,3,0.65
0.05,10,40,920,40,4,0.186
0.05,10,40,1051,40,4,0.201
0.05,10,40,802,40,3,0.132
0.05,10,40,924,40,3,0.176
0.05,10,40,1048,40,3,0.193
0.344797,25,150,508,52,3,0.168
0.341293,25,150,858,52,3,0.346
0.34162,25,150,503,180,3,0.133
0.345588,25,150,846,180,3,0.288
0.344132,25,150,849,180,3,0.268
0.0939,16.7,70,414,40,,0.118
0.0939,16.7,70,160,40,,0.16
0.0939,16.7,70,254,40,,0.254
0.0939,16.7,70,345,40,,0.345
17.3,100,649,503,40,3,0.86
20.1,105,706,325,40,3,0.52
17.3,100,649,357,100,3,0.35
17.3,100,649,510,100,3,0.51
145,203,1319,360,100,3,0.87
0.3529,25,151.3,511.5,120,3,0.129
0.3529,25,151.3,552.5,120,3,0.2574
0.3529,25,151.3,560,120,3,0.2903
0.13175,15,105,1089,40,3,1.055
0.1037,15,105,1066,38,3,0.885
0.10323,15,105,1193,35,3,0.935
0.10307,15,105,1230,39,3,1.1185
0.10014,15,105,1240,34,3,1.195
0.10358,15,105,1242,39,3,1.075
0.10353,15,105,1172,32,3,1.02
0.10355,15,105,1258,32,3,1.115
0.10333,15,105,1093,33,3,0.935
0.15,22,100,1030,36.3,4.5,0.455
0.15,22,100,1210,36.3,4.5,0.595
0.15,22,100,1352,36.3,4.5,0.698
0.15,22,100,1390,36.3,4.5,0.741
0.15,22,100,1438,36.3,4.5,0.674
0.15,22,100,1463,36.3,4.5,0.73
